title,company,location,experience,salary,skills,description,employment_type,posted,link,source
Storage Admin (System Administrator/Lead),Capgemini,,4-9 yrs,0-0 Lakhs,"redhat linux,smb,networking,system administration,active directory,linux administration,3par,zoning,linux,windows server,shell scripting,provisioning,group policy,cifs,netapp,dhcp,nas,san,gpo,vmware,dns,iscsi,microsoft windows,nfs,emc,aws,fc,unix","Your Profile . 4-12 years of experience indesigning,implementing,and managing Storage Administration SAN (Storage Area Network) and NAS (Network Attached Storage) solutions","Full Time, Permanent",18 May,https://www.naukri.com/job-listings-storage-admin-system-administrator-lead-capgemini-technology-services-india-limited-mumbai-pune-bengaluru-4-to-9-years-180526917574?xp=1,Naukri.com
Senior Commvault Engineer,CSC,,8-13 yrs,0-0 Lakhs,"NAT,VMware,SAN,Performance tuning,Automation,Configuration management,Disaster recovery,DNS,Windows,Firewall",<div><p> <span> <span> <strong>Role: Senior Commvault Engineer Infrastructure Data Protection</strong> </span> </span> </p> <p> <span> <span> <strong>Location: Bangalore</strong> </span> </span> </p> <p> <span> <span> <strong>Working schedule: 12pm-9pm IST/ on call support 24/7</strong> </span> </sp,"Full Time, Permanent",21 May,https://www.naukri.com/job-listings-senior-commvault-engineer-csc-bengaluru-8-to-13-years-210526502285?xp=2,Naukri.com
L4 Data/Wireless Network Engineer,New Era Technology,,10-15 yrs,0-0 Lakhs,"rest,python,load balancing,virtualization,customer service,network engineer,ai,regulatory compliance,change management,ansible,gcp,compliance,linux,windows server,wireless,terraform,performance optimization,aws,architecture,azure","Join New Era Technology, where People First is at the heart of everything we do. With a global team of over 3,000 professionals, we''re committed to creating a workplace where everyone feels valued, empowered, and inspired to grow. Our mission is to securely connect people, places, and information w","Full Time, Permanent",15 May,https://www.naukri.com/job-listings-l4-data-wireless-network-engineer-cameo-global-communications-private-limited-bengaluru-10-to-15-years-150526921741?xp=3,Naukri.com
Senior Windows Systems Engineer (L3/L4 Support),Tech SMCSquared GCC,,8-25 yrs,0-0 Lakhs,"Active Directory Administration,Virtualization,Active Directory","Qualifications. 7 + years of experience in a large-scale,team-oriented Microsoft Windows Environment including,but not limited to: Windows Server 2003 to 2022,Active Directory,MS Office 365,VMWare.  . Five to Ten years of experience managing a complex Active Directory environment.  . Bachelors degre","Full Time, Permanent",24 Apr,https://www.naukri.com/job-listings-senior-windows-systems-engineer-l3-l4-support-tech-smcsquared-gcc-bengaluru-8-to-25-years-240426022856?xp=4,Naukri.com
OKTA Lead L3/L4 System Administration & Okta Workflows,Kyndryl,,12-15 yrs,0-0 Lakhs,"Cism,Administration,Automation,Employee engagement,Active directory,Workflow,microsoft,Monitoring,System administration,Auditing","Define and approve authentication policies,MFA controls,and security designs . <br><br>Periodic revalidation and certification of service account access . <br><br>Single Sign-On . Adaptive MFA . Lifecycle Management . API Access Management . <br><br>Experience in large,global enterprise environments","Full Time, Permanent",20 May,https://www.naukri.com/job-listings-okta-lead-l3-l4-system-administration-okta-workflows-kyndryl-bengaluru-12-to-15-years-200526502928?xp=5,Naukri.com
Image build Engineer,Trigent Software,Remote,5-10 yrs,0-0 Lakhs,"Windows Server Automation,Azure Lift and Shift,WS2022 Golden Image,Image Build Engineer,Server Hardening,Packer Automation,PowerShell DSC,ServiceNow CMDB,Windows Server Engineer,Server Migration,ADMT Scripting,In-Place Upgrade,Golden Image Validation","Hours : US business hours(Night shift)<br><br>Maintain ServiceNow CMDB records in sync with server disposition status including Clean Rebuild,In-Place Upgrade,Azure Lift & Shift,and Decommission<br><br>Create and pre-stage ADMT batch migration scripts and configuration data suitable for offshore exe","Full Time, Permanent",14 May,https://www.naukri.com/job-listings-image-build-engineer-trigent-software-bengaluru-5-to-10-years-140526035440?xp=6,Naukri.com
Application Security Engineer - L4,Exotel,,7-12 yrs,0-0 Lakhs,"cd,continuous integration,python,burp suite,owasp,golang,cryptography,ci/cd,nessus,ansible,authorization,node.js,threat modeling,linux,jenkins,shell scripting,api,web application security,protocols,mobile application security,nmap,authentication","A minimum experience of 2+ years is desirable<br><br> Bachelors degree in Computer Science or a related technical discipline,or equivalent practical experience<br><br> Lead and own the SSDLC and envision a frictionless experience for Developers in the lifecycle<br><br>Overall 7+ years of relevant ex","Full Time, Permanent",21 May,https://www.naukri.com/job-listings-application-security-engineer-l4-exotel-bengaluru-7-to-12-years-210526500348?xp=7,Naukri.com
L4 IC Data Platform Engineer,InfoVision Inc.,,5-10 yrs,0-0 Lakhs,"Computer science,cassandra,OLAP,MongoDB,data visualization,Apache,Open source,big data,Python,Data architecture",". Bachelors or Masters in Computer Science,Computer Engineering,Statistics,or another quantitative discipline<br><br>The requirement is to have candidate from Bangalore location and must be working from customer office thrice a week Monday,Wednesday and Friday<br><br>Experienced developing in cloud","Full Time, Permanent",20 May,https://www.naukri.com/job-listings-l4-ic-data-platform-engineer-infovision-inc-bengaluru-5-to-10-years-200526501748?xp=8,Naukri.com
Sr Engineer - QA MR,Advik Hi Tech,,4-8 yrs,0-0 Lakhs,"capa,sap,apqp,iso,mr,professor activities,administration,spc,mrm,7qc,ir,teaching,training,er,internal audit,kaizen,tpm,fmea,quality assurance,qms,msa,ppap,lecturer activities,iatf","Active participation for new part process establishment to achieve PP / PPK minimum 1,In-house Machine Shop Rejection PPM and Assy<br><br>Experience Required:  . Total Experience . <br><br>Nature Of Experience . BE :4-6 Years . .","Full Time, Permanent",15 May,https://www.naukri.com/job-listings-sr-engineer-qa-mr-advik-hi-tech-private-limited-bengaluru-4-to-8-years-150526501399?xp=9,Naukri.com
Exchange On-line and On-prem Engineer,EY,,8-13 yrs,0-0 Lakhs,"Email Security,Automation,Architecture,Power Bi,Networking,Compliance,Windows Server,Powershell,Dns,User Experience,Advocate,Disaster Recovery,Remote Access,Active Directory,Monitoring Tools,Microsoft Exchange,Directory Services","Innovate & lead: Generate,prioritize,and deliver SIP (Service Improvement Plan) and automation initiatives that reduce toil,improve reliability,and measurably enhance user experience<br><br>Experience using Exchange management,maintenance,and monitoring tools<br><br>Familiarity with mobile messaging","Full Time, Permanent",23 Apr,https://www.naukri.com/job-listings-exchange-on-line-and-on-prem-engineer-ernst-young-llp-bengaluru-8-to-13-years-230426912047?xp=10,Naukri.com
Senior Engineer - Data Engineering,Altimetrik,,10-15 yrs,0-0 Lakhs,"Computer science,Performance tuning,Automation,Compliance,Networking,HIPAA,Agile,Information technology,SQL,Python",<div> <p> <strong> Company: </strong>  Altimetrik </p> <p> <strong> Location: </strong>  Hyderabad preferred/ Any location </p> <p> <strong> Job Title: </strong>  L4 Databricks Platform Administrator (AWS) </p> <p> <strong> About Altimetrik: </strong> </p> <p> Altimetrik is a digital business servic,"Full Time, Permanent",21 May,https://www.naukri.com/job-listings-senior-engineer-data-engineering-altimetrik-corp-bengaluru-10-to-15-years-210526502773?xp=11,Naukri.com
Senior Commvault Engineer,CSC,Hybrid -,9-12 yrs,0-0 Lakhs,"Hyper,Networking,Backup,Commvault,Troubleshooting","Our commitment to accessibility reflects our broader dedication to diversity and belonging,. CSC only accepts resumes from employment agencies that are part of our approved supplier program<br><br>Preferred Qualifications <br><br>We are seeking a Senior Commvault Engineer with 8+ years of hands-on e","Full Time, Permanent",21 May,https://www.naukri.com/job-listings-senior-commvault-engineer-csc-bengaluru-9-to-12-years-210526024406?xp=12,Naukri.com
Software Architect- Video sub-system,Valeo,Hybrid -,10-15 yrs,0-0 Lakhs,"Serialization,C++,Video Processing,Image Processing,ISP,video pipeline,QNX","Platform & App development for ADAS. Proficient on C / C++ programming.  . Proficient on OS concepts.  . Proficient on Design / Architecture for ADAS system.  <br><br>Experience on Multi Core SoC Platform,especially Qualcomm,Renessas,Nvidia & Texas platforms","Full Time, Permanent",21 May,https://www.naukri.com/job-listings-software-architect-video-sub-system-valeo-chennai-bengaluru-10-to-15-years-210526023842?xp=13,Naukri.com
Collaboration platforms lead - Miro & Box,Kyndryl,,6-8 yrs,0-0 Lakhs,"Change management,Automation,Operational excellence,Employee engagement,microsoft,Continuous improvement,Licensing,JIRA,Monitoring,Auditing",Mentor junior admins and support Collaboration CoE initiatives. Who You Are . You are good at what you do and possess the required experience to prove it<br><br>Preferred Technical and Professional Experience:  . 6- 8 years of relevant experience,"Full Time, Permanent",20 May,https://www.naukri.com/job-listings-collaboration-platforms-lead-miro-box-kyndryl-bengaluru-6-to-8-years-200526503867?xp=14,Naukri.com
ASSOCIATE ARCHITECT - Network Security,Happiest Minds Technologies,,12-17 yrs,0-0 Lakhs,"Change management,Automation,WAN,VPN,Network security,Troubleshooting,Security operations,cisco,Operations,Firewall","<div> <div> <span> <span> Network Security - L4, 10yrs - 12yrs </span> </span> </div> <div> <span> <span> </span> </span> </div> <div> <span> <span> Key Responsibilities  </span> </span> </div> <ul> <li> <span> <span> Act as the highestlevel (L4) escalation point for complex network security inciden","Full Time, Permanent",20 May,https://www.naukri.com/job-listings-associate-architect-network-security-happiest-minds-technologies-pvt-ltd-bengaluru-12-to-17-years-200526501539?xp=15,Naukri.com
SRE Cloud & Network Engineer (AWS & Hybrid Networking),Capgemini,Hybrid -,7-12 yrs,0-0 Lakhs,"Automation,Networking,Linux,Migration,Vpc,Load Balancing,AWS,Firewall",Hands on experience with Terraform and Linux <br><br>Required Skills <br><br>Preferred <br><br>Were looking for a Cloud & Network Engineer with strong hands on experience in AWS and hybrid networking<br><br> Strong experience in AWS networking and hybrid architectures <br><br>Experience in large sca,"Full Time, Permanent",20 May,https://www.naukri.com/job-listings-sre-cloud-network-engineer-aws-hybrid-networking-capgemini-bangalore-rural-bengaluru-7-to-12-years-200526012778?xp=16,Naukri.com
Regional Solutions Engineer For Asia Pacific South,Viavi Solutions,,4-9 yrs,0-0 Lakhs,"Wireless,Automation,Sales Staff,Linux,Networking,Presales,EPC,core network,Technical support,Python",<div> <p> </p> <p> <b> Summary:  </b> </p> Primarily provides pre-sales technical support for the development and implementation of complex products / applications / solutions. Uses in-depth product knowledge to provide technical expertise to sales staff and the customer through sales presentations,"Full Time, Permanent",19 May,https://www.naukri.com/job-listings-regional-solutions-engineer-for-asia-pacific-south-viavi-solutions-india-private-limited-bengaluru-4-to-9-years-190526500912?xp=17,Naukri.com
Business Development Manager,CIEL HR,,5-10 yrs,0-0 Lakhs,"B2B,Sales,IT Sales,Corporate Sales","Work with Delivery / Recruitment,Marketing,Operations,Payroll,Compliance,Finance teams as required to ensure new client requirements are serviced well <br><br>Specific experience in business development role involving hunting and farming of clients,prior experience in inside sales <br><br>Skilled co","Full Time, Permanent",19 May,https://www.naukri.com/job-listings-business-development-manager-ciel-hr-bengaluru-5-to-10-years-190526037631?xp=18,Naukri.com
Business Consultant OpenTXT Information Archive and App Builder,Abacus Service,Hybrid -,5-10 yrs,0-0 Lakhs,"OpenText Information Archive,Enterprise Data Archiving,AppBuilder","Shift Timings: General <br><br>Required Skills & Experience <br><br>Experience with cloud platforms (Azure,AWS,or similar) and storage technologies preferred <br><br>Proven experience as in enterprise environments<br><br>Strong experience in AppBuilder including for report development and data visua","Full Time, Permanent",19 May,https://www.naukri.com/job-listings-business-consultant-opentxt-information-archive-and-app-builder-abacus-service-hyderabad-chennai-bengaluru-5-to-10-years-190526012028?xp=19,Naukri.com
Network Cyber Security Architect,Rarr Technologies,,10-15 yrs,0-0 Lakhs,"VMware,Networking,Linux,Information security,Active directory,Windows,Troubleshooting,Virtualization,Monitoring,Firewall",<div> <div> <strong> Key Responsibilities </strong> </div> <ul> <li> Design and implement microsegmentation using VMware NSX T and vDefend Distributed Firewall across vSphere and vSAN based environments. </li> <li> Define and maintain zero trust security policies for east west and north south traffi,"Full Time, Permanent",19 Feb,https://www.naukri.com/job-listings-network-cyber-security-architect-rarr-technologies-bengaluru-10-to-15-years-190226505107?xp=20,Naukri.com
